Colony,Time,Treatment,Stim,Load,Intensity,Invert,Fold_increase
M6,0,DMSO,No,0.203,174.32,81.68,1
M6,0.1,DMSO,Yes,0.203,156.097,99.903,1.223102351
M6,0.5,DMSO,Yes,0.203,140.077,115.923,1.419233595
M6,1,DMSO,Yes,0.203,151.31,104.69,1.281709109
M6,2,DMSO,Yes,0.203,151.238,104.762,1.282590597
M6,5,DMSO,Yes,0.203,159.586,96.414,1.180386876
M6,0,KH7,No,0.203,162.01,93.99,1
M6,0.1,KH7,Yes,0.203,141.899,114.101,1.213969571
M6,0.5,KH7,Yes,0.203,141.736,114.264,1.215703798
M6,1,KH7,Yes,0.203,155.676,100.324,1.067390148
M6,2,KH7,Yes,0.203,167.793,88.207,0.938472178
M6,5,KH7,Yes,0.203,174.296,81.704,0.869283966
M6,0,H-89,No,0.203,171.104,84.896,1
M6,0.1,H-89,Yes,0.203,164.502,91.498,1.077765737
M6,0.5,H-89,Yes,0.203,156.172,99.828,1.17588579
M6,1,H-89,Yes,0.203,157.415,98.585,1.161244346
M6,2,H-89,Yes,0.203,167.923,88.077,1.037469374
M6,5,H-89,Yes,0.203,172.886,83.114,0.979009612
M7,0,DMSO,No,0.78,171.102,84.898,1
M7,0.1,DMSO,Yes,0.78,134.917,121.083,1.426217343
M7,0.5,DMSO,Yes,0.78,125.374,130.626,1.538622818
M7,1,DMSO,Yes,0.78,138.615,117.385,1.382659191
M7,2,DMSO,Yes,0.78,150.357,105.643,1.244352046
M7,5,DMSO,Yes,0.78,154.457,101.543,1.1960588
M7,0,KH7,No,0.78,160.631,95.369,1
M7,0.1,KH7,Yes,0.78,134.6,121.4,1.27295033
M7,0.5,KH7,Yes,0.78,148.957,107.043,1.122408749
M7,1,KH7,Yes,0.78,151.882,104.118,1.091738406
M7,2,KH7,Yes,0.78,160.831,95.169,0.997902882
M7,5,KH7,Yes,0.78,167.512,88.488,0.927848672
M7,0,H-89,No,0.78,167.824,88.176,1
M7,0.1,H-89,Yes,0.78,152.638,103.362,1.172223734
M7,0.5,H-89,Yes,0.78,157.038,98.962,1.122323535
M7,1,H-89,Yes,0.78,156.499,99.501,1.128436309
M7,2,H-89,Yes,0.78,167.045,88.955,1.008834604
M7,5,H-89,Yes,0.78,175.746,80.254,0.910156959
M10,0,DMSO,No,2.92,164.908,91.092,1
M10,0.1,DMSO,Yes,2.92,129.85,126.15,1.384863654
M10,0.5,DMSO,Yes,2.92,122.642,133.358,1.463992447
M10,1,DMSO,Yes,2.92,132.216,123.784,1.358889913
M10,2,DMSO,Yes,2.92,145.923,110.077,1.208415668
M10,5,DMSO,Yes,2.92,161.348,94.652,1.039081368
M10,0,KH7,No,2.92,142.458,113.542,1
M10,0.1,KH7,Yes,2.92,113.037,142.963,1.259119973
M10,0.5,KH7,Yes,2.92,112.017,143.983,1.268103433
M10,1,KH7,Yes,2.92,118.06,137.94,1.214880837
M10,2,KH7,Yes,2.92,134.734,121.266,1.06802769
M10,5,KH7,Yes,2.92,145.285,110.715,0.975101724
M10,0,H-89,No,2.92,166.456,89.544,1
M10,0.1,H-89,Yes,2.92,150.656,105.344,1.176449567
M10,0.5,H-89,Yes,2.92,151.263,104.737,1.169670776
M10,1,H-89,Yes,2.92,151.642,104.358,1.16543822
M10,2,H-89,Yes,2.92,155.756,100.244,1.119494327
M10,5,H-89,Yes,2.92,164.767,91.233,1.018862235
