Colony,Time,Treatment,Stim,cAMP_pmol_mL,Protein_ug_mL,cAMP_nmol_mg,cAMP_nmol_ng
M1,0,DMSO,Yes,3.585,122.0941162,0.029362594,29.36259429
M1,0,DMSO,Yes,3.231,122.0941162,0.026463192,26.46319168
M1,0,DMSO,Yes,3.071,134.021952,0.022914157,22.91415663
M1,0.1,DMSO,Yes,10.55,119.5431645,0.088252641,88.2526412
M1,0.1,DMSO,Yes,9.452,109.3570505,0.08643247,86.43247013
M1,0.1,DMSO,Yes,7.678,117.8435129,0.065154202,65.15420163
M1,0.5,DMSO,Yes,9.981,113.5978243,0.087862598,87.86259825
M1,0.5,DMSO,Yes,9.452,110.2048121,0.08576758,85.76757967
M1,0.5,DMSO,Yes,6.947,128.9053042,0.053892274,53.89227419
M1,1,DMSO,Yes,3.737,117.8435129,0.031711546,31.71154617
M1,1,DMSO,Yes,3.424,109.3570505,0.031310281,31.31028118
M1,2,DMSO,Yes,4.742,102.5820351,0.046226418,46.22641769
M1,2,DMSO,Yes,5.041,107.6621171,0.046822412,46.82241197
M1,2,DMSO,Yes,5.041,100.8902471,0.049965186,49.96518638
M1,5,DMSO,Yes,3.231,114.4465689,0.028231515,28.23151478
M1,5,DMSO,Yes,3.781,105.1211914,0.035968009,35.96800939
M1,5,DMSO,Yes,5.372,109.3570505,0.04912349,49.12349022
M1,0,KH7,Yes,5.041,122.9448267,0.041002132,41.00213191
M1,0,KH7,Yes,4.221,124.6468373,0.033863675,33.8636751
M1,0,KH7,Yes,3.781,124.6468373,0.030333702,30.33370186
M1,0.1,KH7,Yes,4.798,115.29551,0.041614804,41.61480357
M1,0.1,KH7,Yes,6.238,119.5431645,0.052181988,52.18198823
M1,0.1,KH7,Yes,5.315,116.1446477,0.045761902,45.76190212
M1,0.5,KH7,Yes,6.79,111.900925,0.048542941,48.54294099
M1,0.5,KH7,Yes,6.15,111.900925,0.043967465,43.96746496
M1,0.5,KH7,Yes,7.868,116.1446477,0.054199656,54.19965642
M1,1,KH7,Yes,5.034,106.8149453,0.047128236,47.12823647
M1,1,KH7,Yes,3.115,105.9679701,0.029395675,29.39567492
M1,1,KH7,Yes,5.374,108.5094855,0.049525624,49.52562419
M1,2,KH7,Yes,5.372,99.1992455,0.054153638,54.15363769
M1,2,KH7,Yes,6.619,111.900925,0.059150539,59.15053874
M1,2,KH7,Yes,4.221,105.1211914,0.040153654,40.15365449
M1,5,KH7,Yes,4.742,100.8902471,0.04700157,47.00156989
M1,5,KH7,Yes,3.992,102.5820351,0.038915196,38.915196
M1,5,KH7,Yes,3.781,96.66421752,0.039114784,39.11478412
M1,0,DMSO,No,2.068,111.3419113,0.018573419,18.57341927
M1,0,DMSO,No,4.221,112.9342421,0.037375732,37.37573231
M1,0,DMSO,No,3.231,107.36782,0.030092816,30.09281552
M1,0.1,DMSO,No,2.068,105.7808778,0.019549847,19.54984722
M1,0.1,DMSO,No,2.779,109.7511201,0.025320926,25.3209261
M1,0.1,DMSO,No,2.779,106.5741565,0.02607574,26.07574005
M1,0.5,DMSO,No,2.779,107.36782,0.025882988,25.88298803
